doc_id	status	title
Z970000130_	Обновленный	О системе местных представительных органов в условиях изменений в административно-территориальном устройстве Республики Казахстан
Z970000127_	Обновленный	О мобилизационной подготовке и мобилизации
Z970000097_	Обновленный	О ВЕКСЕЛЬНОМ ОБРАЩЕНИИ В РЕСПУБЛИКЕ КАЗАХСТАН
Z970000094_	Обновленный	О жилищных отношениях
Z960000059_	Обновленный	О РЕСПУБЛИКАНСКОМ БЮДЖЕТЕ НА 1997 ГОД
Z960000027_	Обновленный	Об амнистии в связи с первой годовщиной новой Конституции Республики Казахстан
Z960000006_	Обновленный	ОБ АВТОРСКОМ ПРАВЕ И СМЕЖНЫХ ПРАВАХ
Z960000003_	Обновленный	Об общественных объединениях
U950002723_	Обновленный	Об ипотеке недвижимого имущества
Z950002710_	Обновленный	Об органах национальной безопасности Республики Казахстан
Z950002676_	Обновленный	О государственных наградах Республики Казахстан
Z950002486_	Обновленный	О производственном кооперативе
Z950002483_	Обновленный	О Службе государственной охраны Республики Казахстан
Z950002444_	Обновленный	О банках и банковской деятельности в Республике Казахстан
U950002337_	Обновленный	О правовом положении иностранных граждан
U950002255_	Обновленный	О хозяйственных товариществах
Z950002198_	Обновленный	О государственной регистрации юридических лиц и учетной регистрации филиалов и представительств
Z950002155_	Обновленный	О Национальном Банке Республики Казахстан
Z940001100_	Обновленный	Об индивидуальном жилищном строительстве
Z940005000_	Новый	Об амнистии в связи с Международным годом семьи
Z940007000_	Обновленный	О транспорте в Республике Казахстан
Z940004000_	Обновленный	Об оперативно-розыскной деятельности
Z940001000_	Новый	Об уточненном республиканском бюджете на 1994 год
Z940000119_	Новый	О действии статей некоторых законодательных актов Республики Казахстан
Z930002200_	Обновленный	О реабилитации жертв массовых политических репрессий
Z930002500_	Новый	О пpизнании утpатившим силу Закона Казахской ССР "Об аpенде"
Z930005000_	Новый	О госудаpственном бюджете на 1993 год<*> Сноска. См. постановления Кабинета Министpов Республики Казахстан от 5 маpта и от 15 июня 1993 г. N.N 170, 506
Z920003600_	Обновленный	О социальной защите гpаждан, постpадавших вследствие ядеpных испытаний на Семипалатинском испытательном ядеpном полигоне
Z920002600_	Обновленный	О социальной защите гpаждан, постpадавших вследствие экологического бедствия в Пpиаpалье
Z910004800_	Обновленный	О гражданстве Республики Казахстан
Z910003900_	Новый	Об изменении наименования Казахской Советской Социалистической Республики
Z900002400_	Новый	О защите  чести  и достоинства  Президента Казахской ССР
Z900001000_	Новый	Об учреждении поста Президента Казахской ССР и внесении изменений и дополнений в Конституцию (Основной Закон) Казахской ССР
Z2600000296	Новый	О Президенте Республики Казахстан
Z2600000297	Новый	О Курултае Республики Казахстан и статусе его депутатов
Z2600000298	Новый	О Қазақстан Халық Кеңесі
Z2600000299	Новый	О статусе столицы Республики Казахстан
Z2600000300	Новый	Об административно-территориальном устройстве Республики Казахстан
Z2600000286	Обновленный	О специальном правовом режиме города Алатау
Z2200000153	Обновленный	О Конституционном Суде Республики Казахстан
Z2200000154	Обновленный	Об Уполномоченном по правам человека в Республике Казахстан
Z2200000155	Обновленный	О прокуратуре
Z1500000438	Обновленный	О Международном финансовом центре "Астана"
Z070000258_	Обновленный	О государственных символах Республики Казахстан
Z000000132_	Обновленный	О судебной системе и статусе судей Республики Казахстан
Z950002688_	Обновленный	О Правительстве Республики Казахстан
Z950002592_	Обновленный	Конституционный закон Республики Казахстан "О всенародном референдуме"
Z950002464_	Обновленный	О выборах в Республике Казахстан
Z910004400_	Новый	О госудаpственной независимости Республики Казахстан
K2600000000	Новый	Конституция Республики Казахстан
